StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q5_1_TEXT,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q17_6_TEXT,Q18,Q19,Q19_4_TEXT,Q20,Q20_3_TEXT,Q21,Q22,Q23
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By taking this survey, you are consenting to this class research project for SOP4777.691, Psychology of Human Sexuality. Participation is completely voluntary. You may not participate if you are under the age of 18 years old. You may stop this survey at any time and you may answer any or all questions you feel comfortable with. This survey may cause you some discomfort because of the sexual nature of this project. All responses will be anonymous.",How old are you?,Are you vaccinated against HPV?,How many doses have you received?,"To the best of your ability, How old were you when you received the last dose of the vaccine? - Selected Choice","To the best of your ability, How old were you when you received the last dose of the vaccine? - Please type in your answer below - Text","Have you had any adverse effects from vaccines in the past, that would stop you from getting it?",Who do you trust the most for information about vaccines?,Who do you trust the least for information about vaccines?,Do you know anyone who does not take a vaccine because of religious or cultural reasons?,Do you also identify with not taking vaccines for religious or cultural reasons?,Does your means of transportation play a role in getting the vaccine?,Have you received the flu vaccine?,Have members of your family been vaccinated against the flu?,Do you believe getting the vaccine prevents illness?,Would you vaccinate your children against the flu?,Do you go yearly for flu vaccinations?,What is your Race/Ethnicity? - Selected Choice,What is your Race/Ethnicity? - Other - Text,What is/was your sex at birth?,What is the gender you identify with? - Selected Choice,What is the gender you identify with? - Other - Text,What sexuality do you best identify with? - Selected Choice,What sexuality do you best identify with? - Other - Text,"To the best of your memory, what was the level of education of your first parent/guardian in 2006?","To the best of your memory, what was the level of education of your second parent/guardian in 2006?","To the best of your memory, what was your socioeconomic status in 2006?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_1_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_6_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_3_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}"
2022-03-11 20:19:25,2022-03-11 20:20:13,Survey Preview,,100,47,True,2022-03-11 20:20:14,R_25FukhiuhofKhwg,,,,,28.0791015625,-82.52449798583984375,preview,EN,I agree to take this survey,20,Yes,3,Please type in your answer below,10,No,Primary Care Providers,Media,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,
2022-03-14 10:33:05,2022-03-14 10:33:41,Survey Preview,,100,35,True,2022-03-14 10:33:42,R_XFl6ssHUGJeKY4V,,,,,28.0791015625,-82.52449798583984375,preview,EN,I agree to take this survey,18,Yes,1,Please type in your answer below,12,Yes,Friends,Primary Care Providers,Prefer not to answer,Yes,Yes,No,No,No,Yes,Yes,Alaskan Native or Native American,,Intersex,Other,,Other,,Post Doctorate,Associate Degree,Lower upper
2022-03-16 17:34:52,2022-03-16 17:41:36,IP Address,143.59.197.237,100,403,True,2022-03-16 17:41:37,R_2ePyFKKuvPWjGYj,,,,,27.8401947021484375,-82.64929962158203125,anonymous,EN,I agree to take this survey,26,No,None,I am not vaccinated against HPV,,Prefer not to answer,Yourself,Media,No,No,No,No,No,No,No,No,Hispanic/Latino,,Female,Woman,,Straight/Heterosexual,,Bachelor's Degree,High school,Middle middle
2022-03-24 09:16:32,2022-03-24 09:18:17,IP Address,50.4.44.219,100,105,True,2022-03-24 09:18:18,R_3EulNTM6TeZ48sj,,,,,39.958099365234375,-82.80680084228515625,anonymous,EN,I agree to take this survey,27,Yes,2,Please type in your answer below,16,No,Prefer not to answer,Media,No,No,No,No,No,No,No,No,Hispanic/Latino,,Female,Woman,,Straight/Heterosexual,,High school,High school,Middle middle
2022-03-25 08:56:41,2022-03-25 09:00:04,IP Address,174.211.115.135,100,202,True,2022-03-25 09:00:04,R_1r3awPpl4FbOUUK,,,,,27.9246978759765625,-82.510498046875,anonymous,EN,I agree to take this survey,26,Yes,3,Please type in your answer below,"Honestly I don’t recall, maybe 6? I really don’t know ",No,Primary Care Providers,Media,Yes,Yes,No,No,Yes,No,No,No,"White,Other","Hispanic and white ",Female,Woman,,Straight/Heterosexual,,High school,Can't remember/Don't know,Middle middle
2022-03-28 18:17:28,2022-03-28 18:19:43,IP Address,75.102.132.107,100,134,True,2022-03-28 18:19:43,R_26mvbmdZnvsDoM5,,,,,28.0767974853515625,-82.4459991455078125,anonymous,EN,I agree to take this survey,21,No,None,I am not vaccinated against HPV,,No,Primary Care Providers,Family,No,No,No,Yes,Yes,No,Yes,No,Hispanic/Latino,,Male,Man,,Homosexual,,High school,High school,Lower middle
2022-03-28 18:18:43,2022-03-28 18:20:15,IP Address,35.142.84.24,100,92,True,2022-03-28 18:20:16,R_11jvjKKtvsos9k4,,,,,28.020599365234375,-82.4573974609375,anonymous,EN,I agree to take this survey,20,Yes,3,Please type in your answer below,12?,No,Primary Care Providers,Family,No,No,No,Yes,Yes,Yes,Yes,No,White,,Female,Man,,Homosexual,,Bachelor's Degree,Bachelor's Degree,Upper middle
2022-03-28 18:18:51,2022-03-28 18:20:37,IP Address,174.212.34.89,100,106,True,2022-03-28 18:20:38,R_26eA0v7BRpQa5BO,,,,,28.6343994140625,-81.622100830078125,anonymous,EN,I agree to take this survey,20,No,None,I am not vaccinated against HPV,,No,Primary Care Providers,Media,No,No,No,Yes,Yes,Yes,Yes,Yes,Asian,,Female,Woman,,Other,Bisexual,Post Doctorate,Doctorate PhD,Lower
2022-03-28 18:23:58,2022-03-28 18:26:02,IP Address,47.198.232.169,100,123,True,2022-03-28 18:26:02,R_2CrbFHdmJYzqREv,,,,,27.704498291015625,-82.43379974365234375,anonymous,EN,I agree to take this survey,19,Yes,2,Please type in your answer below,11,No,Primary Care Providers,Friends,No,No,No,Yes,Yes,Yes,Yes,No,Hispanic/Latino,,Female,Woman,,Straight/Heterosexual,,High school,Middle school,Middle middle
2022-03-28 18:21:38,2022-03-28 18:38:04,IP Address,131.247.224.157,100,985,True,2022-03-28 18:38:04,R_2VEhEMzGlGwraId,,,,,28.0619049072265625,-82.4044036865234375,anonymous,EN,I agree to take this survey,20,No,None,I am not vaccinated against HPV,,No,Primary Care Providers,Media,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Black or African American,,Female,Woman,,Straight/Heterosexual,,Bachelor's Degree,Bachelor's Degree,Middle middle
2022-03-28 18:38:40,2022-03-28 18:43:43,IP Address,172.58.173.6,100,302,True,2022-03-28 18:43:43,R_1ojUaHuRu0JUAJB,,,,,25.956207275390625,-80.18280029296875,anonymous,EN,I agree to take this survey,19,Yes,1,Please type in your answer below,18,No,Yourself,Media,Yes,No,No,No,No,Prefer not to answer,No,No,Black or African American,,Female,Woman,,Straight/Heterosexual,,Bachelor's Degree,Associate Degree,Lower
2022-03-28 19:00:48,2022-03-28 19:03:41,IP Address,173.171.224.245,100,173,True,2022-03-28 19:03:42,R_CjimORMeIOHMPjr,,,,,27.8672027587890625,-82.35030364990234375,anonymous,EN,I agree to take this survey,22,Yes,3,Please type in your answer below,15,No,Primary Care Providers,Media,Yes,No,No,No,Yes,No,Yes,No,White,,Female,Woman,,Straight/Heterosexual,,High school,High school,Lower middle
2022-03-28 19:37:13,2022-03-28 19:40:32,IP Address,69.1.192.161,100,198,True,2022-03-28 19:40:32,R_3nuUcJogRlGUhjI,,,,,28.0767974853515625,-82.4459991455078125,anonymous,EN,I agree to take this survey,20,No,None,I am not vaccinated against HPV,,No,Primary Care Providers,Friends,Yes,No,No,Yes,Yes,Yes,Yes,No,White,,Female,Woman,,Other,,Bachelor's Degree,Bachelor's Degree,Middle middle
2022-03-28 19:45:10,2022-03-28 19:47:21,IP Address,172.109.157.162,100,130,True,2022-03-28 19:47:21,R_2UWSPHSPevr8SMD,,,,,28.0507965087890625,-82.44840240478515625,anonymous,EN,I agree to take this survey,22,Yes,2,Please type in your answer below,Not sure but prorated young.,No,Primary Care Providers,Media,Yes,No,No,Yes,Yes,Yes,Yes,No,Hispanic/Latino,,Female,Woman,,Straight/Heterosexual,,High school,There isn't one,Lower middle
2022-03-29 03:47:37,2022-03-29 03:49:42,IP Address,172.109.183.91,100,124,True,2022-03-29 03:49:42,R_3iFlrSOegJNC1sH,,,,,28.0767974853515625,-82.4459991455078125,anonymous,EN,I agree to take this survey,21,Yes,2,Please type in your answer below,13,No,Primary Care Providers,Friends,Yes,No,No,No,Yes,No,Prefer not to answer,No,Black or African American,,Female,Woman,,Straight/Heterosexual,,Associate Degree,Associate Degree,Middle middle
2022-03-29 10:46:53,2022-03-29 10:49:32,IP Address,172.56.26.161,100,159,True,2022-03-29 10:49:33,R_3NVQNsV3DwWUaRh,,,,,27.9929046630859375,-82.4029998779296875,anonymous,EN,I agree to take this survey,28,Yes,1,Please type in your answer below,"I believe after I turned 21? ",No,Primary Care Providers,Media,Yes,No,No,No,Yes,Yes,Yes,No,White,,Female,Woman,,Homosexual,,Can't remember/Don't know,Can't remember/Don't know,Lower
2022-03-29 11:31:51,2022-03-29 11:36:43,IP Address,131.247.226.29,100,292,True,2022-03-29 11:36:43,R_3qaIjZL8grvpAaw,,,,,28.0767974853515625,-82.4459991455078125,anonymous,EN,I agree to take this survey,19,Don't know,None,Please type in your answer below,I have no idea,No,Primary Care Providers,Family,Yes,No,No,Yes,Yes,Yes,Yes,Yes,White,,Female,Woman,,Straight/Heterosexual,,Bachelor's Degree,High school,Middle middle
2022-03-30 19:42:59,2022-03-30 19:44:50,IP Address,75.102.132.47,100,111,True,2022-03-30 19:44:51,R_1CvGZ56Xh0kR7h0,,,,,28.0767974853515625,-82.4459991455078125,anonymous,EN,I agree to take this survey,21,Yes,3,Please type in your answer below,"Not sure but it was basically as early as i could possibly get it my mom hand me get it. ",No,Primary Care Providers,Media,No,No,Yes,Yes,Yes,Yes,Yes,No,White,,Female,Woman,,Other,"Bisexual ",High school,Bachelor's Degree,Lower middle
2022-03-31 07:43:52,2022-03-31 07:46:18,IP Address,65.32.43.59,100,145,True,2022-03-31 07:46:18,R_1112eYZh5G5DOxY,,,,,28.479705810546875,-82.5561981201171875,anonymous,EN,I agree to take this survey,20,Don't know,,,,No,Primary Care Providers,Friends,Yes,No,No,Yes,Yes,Yes,Yes,Yes,White,,Female,Other,"non binary ",Other,queer,High school,High school,Lower
2022-03-28 18:17:48,2022-03-28 18:17:55,IP Address,131.247.226.42,9,7,False,2022-04-04 18:18:00,R_1GUnnPdXDAcczeL,,,,,,,anonymous,EN,I agree to take this survey,19,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28 19:00:25,2022-03-28 19:01:08,IP Address,97.96.120.76,70,43,False,2022-04-04 19:01:16,R_XwgMgoWknOq6yoF,,,,,,,anonymous,EN,I agree to take this survey,19,Yes,3,Please type in your answer below,16,No,Primary Care Providers,Media,No,No,No,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
2022-03-28 19:03:29,2022-03-28 19:03:35,IP Address,174.211.65.246,9,6,False,2022-04-04 19:03:36,R_0c6i5aWZYCNYUM1,,,,,,,anonymous,EN,I agree to take this survey,20,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28 19:10:31,2022-03-28 19:11:01,IP Address,174.211.129.115,22,30,False,2022-04-04 19:11:04,R_2rwvcDKIMrarhGJ,,,,,,,anonymous,EN,I agree to take this survey,20,Yes,3,Please type in your answer below,16,,,,,,,,,,,,,,,,,,,,,
2022-03-28 18:19:18,2022-03-29 16:21:38,IP Address,35.142.32.15,9,79340,False,2022-04-05 16:21:41,R_3lxepij4Z8nPXfC,,,,,,,anonymous,EN,I agree to take this survey,20,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 15:04:36,2022-03-31 15:04:55,IP Address,35.139.158.141,22,18,False,2022-04-07 15:17:23,R_3QEt494YdBWUKra,,,,,,,anonymous,EN,I agree to take this survey,21,No,None,I am not vaccinated against HPV,,,,,,,,,,,,,,,,,,,,,,
